품사	단어
NC	레드 카펫
NC	레드카펫
NC	하늘 공원
NC	하늘공원
NC	국립박물관
NC	경마 공원
NC	경마공원
NC	놀이 공원
NC	놀이공원
NC	워터 파크
NC	워터파크
NC	화산
NC	사옥
NC	과소 지역
NC	과소지역
NC	관광 취락
NC	관광취락
NC	광역경제권
NC	광역도시권
NC	구릉지
NC	국도
NC	근교
NC	범람원
NC	분지
NC	산업 단지
NC	산업단지
NC	산촌
NC	삼각주
NC	선상지
NC	수도
NC	연안
NC	용암 대지
NC	용암대지
NC	유원지
NC	지방도
NC	해수 욕장
NC	해수욕장
NC	해안
NC	해안 분지
NC	해안분지
NC	해협
NC	gate
NC	가극장
NC	가든
NC	간선 도로
NC	간이진료소
NC	감방
NC	감옥
NC	강의실
NC	객실
NC	갤러리
NC	거점 도시
NC	거점도시
NC	게이 빌리지
NC	게이 타운
NC	게이빌리지
NC	게이타운
NC	결혼 식장
NC	결혼식장
NC	경기장
NC	경로당
NC	경수로 발전소
NC	경수로발전소
NC	계간지
NC	계곡
NC	계단
NC	고가 도로
NC	고가도로
NC	고객 센터
NC	고객센터
NC	고속 도로
NC	고속도로
NC	고속화도로
NC	고시원
NC	고지
NC	고향
NC	골목
NC	골짜기
NC	골프 연습장
NC	골프연습장
NC	골프장
NC	공군 기지
NC	공군기지
NC	공설 시장
NC	공연장
NC	공원
NC	공중 전화
NC	공중전화
NC	공항
NC	관광 도로
NC	관광 명소
NC	관광도로
NC	관광명소
NC	관광지
NC	광장
NC	교도소
NC	교무실
NC	교실
NC	교외
NC	교육관
NC	교육장
NC	교회
NC	구장
NC	구치소
NC	국경 도시
NC	국경도시
NC	국내
NC	국립 공원
NC	국립공원
NC	국제
NC	국제 공항
NC	국제 무역 센터
NC	국제 무역센터
NC	국제 전시장
NC	국제공항
NC	국제무역 센터
NC	국제전 시장
NC	국제전시장
NC	군기지
NC	군사 공항
NC	군사 기지
NC	군사 도시
NC	군사공항
NC	군사기지
NC	군사도시
NC	권역
NC	그루터
NC	극동
NC	극장
NC	근처
NC	글로벌
NC	금융 센터
NC	금융 지구
NC	금융센터
NC	금융지구
NC	기내
NC	기밀 도시
NC	기밀도시
NC	기숙사
NC	기업 도시
NC	기업도시
NC	기지
NC	길거리
NC	길목
NC	나루
NC	나요양소
NC	낚시터
NC	남탕
NC	내부
NC	노래방
NC	노인정
NC	놀이 동산
NC	놀이동산
NC	놀이터
NC	농구 경기장
NC	농구경기장
NC	농장
NC	농촌
NC	눈썰매장
NC	늪
NC	다방
NC	단상
NC	담장
NC	대강당
NC	대극장
NC	대기실
NC	대나무숲
NC	대륙
NC	대성당
NC	대학 도서관
NC	대학 도시
NC	대학가
NC	대학교 도서관
NC	대학교도서관
NC	대학도서관
NC	대학도시
NC	데이터센터
NC	도농 복합 도시
NC	도농 통합 도시
NC	도농복합도시
NC	도농통합도시
NC	도로
NC	도립 공원
NC	도립공원
NC	도매 시장
