어휘	구성 단위	품사	전문 분야
폐쇄-식	어휘	명사	
폐쇄-식	어휘	명사	농업
폐쇄-음	어휘	명사	언어
폐쇄-적	어휘	관형사·명사	
폐쇄-주의	어휘	명사	
폐쇄-하다	어휘	동사	
폐쇄-하다	어휘	동사	
폐쇄-하다	어휘	동사	
폐쇄-형	어휘	명사	
폐쇄-형	어휘	명사	
폐쇄-화	어휘	명사	식물
폐쇄^가지	구	품사 없음	의학
폐쇄^각화증	구	품사 없음	의학
폐쇄^개체군	구	품사 없음	생명
폐쇄^개폐^장치	구	품사 없음	전기·전자
폐쇄^건조^귀두염	구	품사 없음	의학
폐쇄^경제	구	품사 없음	경제
폐쇄^고랑	구	품사 없음	의학
폐쇄^골절^교정	구	품사 없음	의학
폐쇄^공식	구	품사 없음	정보·통신
폐쇄^공포	구	품사 없음	심리
폐쇄^관계^대수	구	품사 없음	정보·통신
폐쇄^관다발	구	품사 없음	식물
폐쇄^교정	구	품사 없음	의학
폐쇄^구내^통신망	구	품사 없음	정보·통신
폐쇄^구멍	구	품사 없음	의학
폐쇄^구멍^탈장	구	품사 없음	의학
폐쇄^구역	구	품사 없음	전기·전자
폐쇄^기계적^특성	구	품사 없음	기계
폐쇄^기구	구	품사 없음	전기·전자
폐쇄^기능	구	품사 없음	체육
폐쇄^기술	구	품사 없음	체육
폐쇄^기업	구	품사 없음	경제
폐쇄^난포	구	품사 없음	생명
폐쇄^능선	구	품사 없음	의학
폐쇄^담보	구	품사 없음	경제
폐쇄^동맥	구	품사 없음	의학
폐쇄^동맥^뒷가지	구	품사 없음	의학
폐쇄^동맥^후지	구	품사 없음	의학
폐쇄^되맞춤술	구	품사 없음	의학
폐쇄^드레싱	구	품사 없음	의학
폐쇄^등기	구	품사 없음	행정
폐쇄^등기부	구	품사 없음	사회 일반
폐쇄^등기부^등본	구	품사 없음	사회 일반
폐쇄^루틴	구	품사 없음	정보·통신
폐쇄^루프	구	품사 없음	정보·통신
폐쇄^루프^시스템	구	품사 없음	정보·통신
폐쇄^루프^제어	구	품사 없음	정보·통신
폐쇄^루프^체제	구	품사 없음	정보·통신
폐쇄^루프^체제	구	품사 없음	정보·통신
폐쇄^루프식	구	품사 없음	정보·통신
폐쇄^루프식	구	품사 없음	정보·통신
폐쇄^림프절	구	품사 없음	의학
폐쇄^마개	구	품사 없음	의학
폐쇄^마취	구	품사 없음	의학
폐쇄^머리^손상	구	품사 없음	의학
폐쇄^머리뼈^골절	구	품사 없음	의학
폐쇄^면포	구	품사 없음	의학
폐쇄^명령어^루프	구	품사 없음	정보·통신
폐쇄^모듈	구	품사 없음	전기·전자
폐쇄^모형	구	품사 없음	경제
폐쇄^묶음	구	품사 없음	생명
폐쇄^바늘^생검	구	품사 없음	의학
폐쇄^반복	구	품사 없음	정보·통신
폐쇄^방식	구	품사 없음	정보·통신
폐쇄^배액법	구	품사 없음	의학
폐쇄^배양계	구	품사 없음	생명
폐쇄^배열	구	품사 없음	정보·통신
폐쇄^배열	구	품사 없음	정보·통신
폐쇄^배전반	구	품사 없음	전기·전자
폐쇄^번지법	구	품사 없음	정보·통신
폐쇄^병동	구	품사 없음	의학
폐쇄^보호^장치	구	품사 없음	기계
폐쇄^복사^수신자	구	품사 없음	정보·통신
폐쇄^부류	구	품사 없음	언어
폐쇄^부류^형태	구	품사 없음	언어
폐쇄^부전	구	품사 없음	의학
폐쇄^비음	구	품사 없음	의학
폐쇄^비음증	구	품사 없음	의학
폐쇄^사회	구	품사 없음	행정
폐쇄^생태계	구	품사 없음	생명
폐쇄^생태계^생명^유지^시스템	구	품사 없음	기계
폐쇄^서브루틴	구	품사 없음	정보·통신
폐쇄^세계^가정	구	품사 없음	정보·통신
폐쇄^세기관지^기질화^폐렴	구	품사 없음	의학
폐쇄^수역	구	품사 없음	해양
폐쇄^순환계	구	품사 없음	생명
폐쇄^신경	구	품사 없음	의학
폐쇄^신경^뒷가지	구	품사 없음	생명
폐쇄^신경^피부^가지	구	품사 없음	의학
폐쇄^신경^피지	구	품사 없음	의학
폐쇄^신경^후지	구	품사 없음	생명
폐쇄^여과	구	품사 없음	환경
폐쇄^여드름집	구	품사 없음	의학
폐쇄^연접	구	품사 없음	언어
폐쇄^우각^녹내장	구	품사 없음	의학
폐쇄^우량^형식	구	품사 없음	정보·통신
폐쇄^우물	구	품사 없음	건설
폐쇄^운동^기술	구	품사 없음	체육
폐쇄^위치	구	품사 없음	기계
폐쇄^유관속	구	품사 없음	식물
폐쇄^음절	구	품사 없음	언어
폐쇄^응답형	구	품사 없음	수학
폐쇄^의미^트리	구	품사 없음	정보·통신
폐쇄^의미^트리	구	품사 없음	정보·통신
폐쇄^작동^시간	구	품사 없음	전기·전자
폐쇄^잡음	구	품사 없음	의학
폐쇄^저압^개폐^장치	구	품사 없음	전기·전자
폐쇄^전문점	구	품사 없음	정보·통신
폐쇄^정맥	구	품사 없음	의학
폐쇄^정맥염	구	품사 없음	의학
폐쇄^정복술	구	품사 없음	의학
폐쇄^정책	구	품사 없음	정치
폐쇄^조약	구	품사 없음	정치
폐쇄^조작	구	품사 없음	기계
폐쇄^주문^생산	구	품사 없음	경영
폐쇄^주소법	구	품사 없음	정보·통신
폐쇄^지역	구	품사 없음	군사
폐쇄^질의	구	품사 없음	정보·통신
폐쇄^차랑^갑판선	구	품사 없음	교통
폐쇄^체계	구	품사 없음	사회 일반
폐쇄^체제	구	품사 없음	사회 일반
폐쇄^통로	구	품사 없음	전기·전자
폐쇄^통풍^장치	구	품사 없음	전기·전자
폐쇄^퇴적^시간	구	품사 없음	건설
폐쇄^폐렴	구	품사 없음	의학
